"module name","license","repository"
"@samverschueren/stream-to-observable@0.3.0","MIT","https://github.com/SamVerschueren/stream-to-observable"
"@sindresorhus/df@1.0.1","MIT","https://github.com/sindresorhus/df"
"@sindresorhus/df@2.1.0","MIT","https://github.com/sindresorhus/df"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"ansi-regex@3.0.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@2.2.1","MIT","https://github.com/chalk/ansi-styles"
"any-observable@0.3.0","MIT","https://github.com/sindresorhus/any-observable"
"chalk@1.1.3","MIT","https://github.com/chalk/chalk"
"cli-truncate@0.2.1","MIT","https://github.com/sindresorhus/cli-truncate"
"cp-file@6.2.0","MIT","https://github.com/sindresorhus/cp-file"
"cross-spawn-async@2.2.5","MIT","https://github.com/IndigoUnited/node-cross-spawn-async"
"date-fns@1.30.1","MIT","https://github.com/date-fns/date-fns"
"debug@3.2.6","MIT","https://github.com/visionmedia/debug"
"debuglog@1.0.1","MIT","https://github.com/sam-github/node-debuglog"
"dezalgo@1.0.3","ISC","https://github.com/npm/dezalgo"
"dir-glob@2.2.2","MIT","https://github.com/kevva/dir-glob"
"elegant-spinner@1.0.1","MIT","https://github.com/sindresorhus/elegant-spinner"
"execa@0.2.2","MIT","https://github.com/sindresorhus/execa"
"figures@1.7.0","MIT","https://github.com/sindresorhus/figures"
"gelue.club@0.1.0","MIT","https://github.com/gatsbyjs/gatsby-starter-blog"
"globby@7.1.1","MIT","https://github.com/sindresorhus/globby"
"ignore-walk@3.0.2","ISC","https://github.com/isaacs/ignore-walk"
"indent-string@3.2.0","MIT","https://github.com/sindresorhus/indent-string"
"is-fullwidth-code-point@1.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-observable@1.1.0","MIT","https://github.com/sindresorhus/is-observable"
"license-checker@25.0.1","BSD-3-Clause","https://github.com/davglass/license-checker"
"listr-silent-renderer@1.1.1","MIT","https://github.com/SamVerschueren/listr-silent-renderer"
"listr-update-renderer@0.5.0","MIT","https://github.com/SamVerschueren/listr-update-renderer"
"listr-verbose-renderer@0.5.0","MIT","https://github.com/SamVerschueren/listr-verbose-renderer"
"listr@0.14.3","MIT","https://github.com/SamVerschueren/listr"
"log-symbols@1.0.2","MIT","https://github.com/sindresorhus/log-symbols"
"log-update@2.3.0","MIT","https://github.com/sindresorhus/log-update"
"make-dir@2.1.0","MIT","https://github.com/sindresorhus/make-dir"
"mount-point@3.0.0","MIT","https://github.com/kevva/mount-point"
"move-file@1.2.0","MIT","https://github.com/sindresorhus/move-file"
"ms@2.1.2","MIT","https://github.com/zeit/ms"
"needle@2.4.0","MIT","https://github.com/tomas/needle"
"nested-error-stacks@2.1.0","MIT","https://github.com/mdlavin/nested-error-stacks"
"node-pre-gyp@0.12.0","BSD-3-Clause","https://github.com/mapbox/node-pre-gyp"
"nopt@4.0.1","ISC","https://github.com/npm/nopt"
"npm-bundled@1.0.6","ISC","https://github.com/npm/npm-bundled"
"npm-packlist@1.4.4","ISC","https://github.com/npm/npm-packlist"
"npm-run-path@1.0.0","MIT","https://github.com/sindresorhus/npm-run-path"
"os-homedir@1.0.2","MIT","https://github.com/sindresorhus/os-homedir"
"osenv@0.1.5","ISC","https://github.com/npm/osenv"
"path-key@1.0.0","MIT","https://github.com/sindresorhus/path-key"
"pify@3.0.0","MIT","https://github.com/sindresorhus/pify"
"pify@4.0.1","MIT","https://github.com/sindresorhus/pify"
"prettier@1.18.2","MIT","https://github.com/prettier/prettier"
"read-installed@4.0.3","ISC","https://github.com/isaacs/read-installed"
"read-package-json@2.1.0","ISC","https://github.com/npm/read-package-json"
"readdir-scoped-modules@1.1.0","ISC","https://github.com/npm/readdir-scoped-modules"
"slash@1.0.0","MIT","https://github.com/sindresorhus/slash"
"slice-ansi@0.0.4","MIT","https://github.com/chalk/slice-ansi"
"slide@1.1.6","ISC","https://github.com/isaacs/slide-flow-control"
"spdx-compare@1.0.0","MIT","https://github.com/kemitchell/spdx-compare.js"
"spdx-ranges@2.1.1","(MIT AND CC-BY-3.0)","https://github.com/kemitchell/spdx-ranges.js"
"spdx-satisfies@4.0.1","MIT","https://github.com/kemitchell/spdx-satisfies.js"
"string-width@1.0.2","MIT","https://github.com/sindresorhus/string-width"
"strip-ansi@4.0.0","MIT","https://github.com/chalk/strip-ansi"
"supports-color@2.0.0","MIT","https://github.com/chalk/supports-color"
"trash@6.0.0","MIT","https://github.com/sindresorhus/trash"
"treeify@1.1.0","MIT","https://github.com/notatestuser/treeify"
"user-home@2.0.0","MIT","https://github.com/sindresorhus/user-home"
"util-extend@1.0.3","MIT","https://github.com/isaacs/util-extend"
"wrap-ansi@3.0.1","MIT","https://github.com/chalk/wrap-ansi"
"xdg-basedir@2.0.0","MIT","https://github.com/sindresorhus/xdg-basedir"
"xdg-trashdir@2.1.1","MIT","https://github.com/kevva/xdg-trashdir"
